原始词	标准词
肠胃受损	胃肠功能紊乱
没怎么吃饭	食欲不振
烧到38.4	中等度热
烧了37.7	低热
下呼吸道感染	呼吸道感染
拉屎有点白	陶土便
体温38度4	低热
大便次数明显增多	腹泻
尿比原来少	尿量减少
风寒感冒	感冒
拉了这么久肚子	腹泻
血糖高	血糖异常
消化差	消化不良
吃奶量有减少	食欲不振
拉的屁屁那里有一点点红	肛门红肿
小便好像每次量很少	尿量减少
小便量就会偏少	尿量减少
一天十多次	腹泻
肚子咕噜咕噜的	肠鸣音
尿量的确减少	尿量减少
嘴唇干干的	口唇干燥
37.4度	低热
啖	痰
内火很重	上火
皮肤破损	皮肤不完整
双肺纹理稍粗	肺纹理增粗
精神吃奶不好	精神软
浠水变	水样便
啦稀	稀便
低于36	低温
抵抗力也低	免疫力低下
抵抗力实在很差	免疫力低下
一天了一小时能拉两次	腹泻
尿的次数也不多	尿量减少
尿量明显，减少	尿量减少
拉的水样的大便然后带点稀得	水样便
喝奶还是没得以前喝的多	食欲不振
大便含水样、含粘液、含泡沫、含类似鼻涕样的，或者含奶瓣多、气味较重	水样便
嗓子看起来红肿	咽喉炎
舌苔一直都很厚	舌苔厚黄
舌苔就这二天看着很厚	舌苔厚黄
不想喝奶	食欲不振
鼻堵	鼻塞
乳糖不耐	乳糖不耐受
肚子可能不舒服	腹部不适
脸黄	皮肤黄
拉屎带奶瓣	稀便
38度6	中等度热
体温升高过快	发热
鼻子还有点不通	鼻塞
屎水	水样便
粪便比较稀，水	稀便
胃肠道不好	胃肠功能紊乱
胃肠胀气	腹胀
带奶瓣黄色稀便	稀便
過敏	过敏
發黃	发黄
细菌感染炎症	细菌感染
肺部啰音	啰音
大便会很水	水样便
支原体衣原体感染	支原体感染
呼吸也很大声	粗呼吸音
先天发育异常	生长发育异常
先天发育的异常	生长发育异常
痰呼呼响	痰鸣音
痰呼噜	痰鸣音
呼噜的声音	痰鸣音
拉七八次，都是水一样的	水样便
发高烧39*7	发热
营养缺失	营养不良
咽喉红	咽喉炎
口腔红	发红
咽喉部位红肿	咽喉炎
今天根本没吃什么奶	食欲不振
嘴巴吐泡沫	口吐白沫
胃肠功能的损伤	胃肠功能紊乱
清鼻	鼻流涕
喉咙呼卡呼卡	痰鸣音
川崎	川崎病
大便是绿色的	绿便
肠胃消化也不好	消化不良
鼻涕，粘性的	鼻流涕
细菌引起的肺部感染	细菌感染
体温达到38.5	中等度热
大便，发黑	黑便
留鼻涕是青的	鼻流涕
水泡音	啰音
大便一直有味道有絮状物	大便酸臭
拉便便味道一直都很大	大便酸臭
大便又块	大便性状异常
屁股发红	肛门红肿
尿量也没有减少	尿量减少
呼吸声重	粗呼吸音
不透气	鼻塞
喉咙里面咕噜咕噜	痰鸣音
气管咳发炎	气管炎
过敏性体质	过敏体质
吃了就拉	腹泻
双眼发直或者上翻	眼上翻
牙关紧闭	器官异常
四肢僵直或抖动	器官异常
墨绿色便便	绿便
不易消化	消化不良
消化的不太好	消化不良
便便有很大的酸味	大便酸臭
没有完全消化的	消化不良
没有拉便便	便秘
体温38度	低热
大便次数增多，有水	腹泻
精神很差	精神软
昨天到现在没吃什么东西	食欲不振
肠系膜淋巴结	淋巴结肠炎
大便是浅绿色	绿便
大便也可以偶尔呈浅绿色	绿便
大便食深绿色	绿便
食欲一直都不太好	食欲不振
不是很爱吃东西	食欲不振
嗓子里有呼噜噜声	痰鸣音
肺里一阵哨音	肺部杂音
肺里有声音	肺部杂音
37'度7或8	低热
38:4	低热
屁股红红的	肛门红肿
拉的稀水便	稀便
拉的会像蛋花状	蛋花汤样便
不怎么好睡	睡眠障碍
一天拉好几次	腹泻
屁眼又红又疼	肛门红肿
大便稀带水样	水样便
喉咙有明显发炎	咽喉炎
37。5	低热
不超过38.5	中等度热
手脚热	发热
嗓子也总发炎	咽喉炎
喘息性的支气管炎	喘息性支气管炎
米汤样	粥样便
水变	水样便
烧38度以上	发热
鼻子不怎么通	鼻塞
没什么抵抗力	免疫力低下
8天没有大便	便秘
缺乏钙铁锌	缺钙
体质比较低下	免疫力低下
气管还有点发严	气管炎
鼻子又不通	鼻塞
今天拉了三次这样的软便	稀便
很硬的大便	大便干燥
大便硬	大便干燥
硬便	大便干燥
大便次数多，颜色发绿	绿便
大便突然次数增多	腹泻
手脚和身上的疱疹	疱疹
血红蛋白就有点低	贫血
消化功能在生病的时候也是相对弱	消化不良
血红蛋白有点底	贫血
巨幼细胞性贫血	贫血
屁股疼	肛门疼痛
大便像羊粪似的一粒一粒的	便秘
吃奶明显没以前会吃	食欲不振
惧怕排便	便秘
排便非常痛苦	便秘
排便痛苦。都是几天大便一次	便秘
很瘦	体重减轻
时间久不排大便	便秘
晚上也睡不好觉。容易惊醒	睡眠障碍
大便很痛苦	便秘
黄疸高	黄疸
硬包	硬块
肚子真的不胀	腹胀
生理性便秘	便秘
冰凉	四肢厥冷
嗓子呼噜呼噜的	痰鸣音
呼吸不太顺畅	呼吸困难
拉的都是稀的，颜色有点发绿	稀便
肚子也疼	腹痛
肚子会疼	腹痛
肠僸挛	肠痉挛
38.39.40	中等度热
发烧到40	高热
吐谈	咳痰
吃减少	食欲不振
今天是第三天没排便	便秘
今天是第三天没拉大便	便秘
体质会差点	免疫力低下
眼睛里面和周围还是黄	发黄
胃肠功能不完善	胃肠功能紊乱
困	嗜睡
想拉拉不出来	便秘
不想拉	便秘
想拉拉不出来，表情特别痛苦，老是使劲	便秘
便便成黑色	黑便
肠胃的问题	胃肠功能紊乱
功能性疾病	功能性便秘
孩子身上的小红点	皮疹
类百日咳	类百日咳综合征
脸红	发红
脸泛红	发红
哭泣	哭闹
发钱过四十度	发热
发钱	发热
胃肠功能不是很好	胃肠功能紊乱
38.5左右	中等度热
体温比较高	发热
感染病毒	病毒感染
身上冰凉	四肢厥冷
排便费劲	便秘
大便都是黑色的	黑便
黑色大便	黑便
脐周痛	脐周疼痛
感	感冒
咳漱	咳嗽
脑门有点烫	发热
37.8度	低热
鼻子里面也好像有什么东西堵起的	鼻塞
睡觉睡不好	睡眠障碍
手脚都是冰凉	四肢厥冷
痰鸣	痰鸣音
肠胀气	腹胀
肚子是有点胀气	腹胀
生理性	生理性黄疸
病理性	病理性黄疸
母乳型的黄疸	母乳性黄疸
母乳性	母乳性黄疸
母乳型	母乳性黄疸
嗓子里面有吼吼的声音	啰音
六天没有大便	便秘
大便很干燥	大便干燥
便干	大便干燥
消化功能欠佳	消化不良
37.1	低热
没那么活跃	精神软
身体太虚	免疫力低下
体质虚	免疫力低下
肚子比较硬	腹部不适
大便还是有点稀	稀便
抽绪	抽搐
皮肤很黄	皮肤黄
ab,o溶血	溶血性黄疸
食欲减退	食欲不振
气短	呼吸困难
慢性咳嗽	咳嗽
鼻后漏	鼻后漏综合征
手干脚干疼	四肢疼痛
红色密集样皮疹	皮疹
热退	退热
疹出	皮疹
睡不醒	嗜睡
精神感觉不怎么好	精神软
喉咙又点红	咽喉炎
交叉感染	感染
胃口不太会	食欲不振
37.7度	低热
体温3637.4度	低热
有点汗	出汗
嗓子里面有呼噜的声音	痰鸣音
鼻子里咕噜噜的	鼻流涕
感觉喘不过来气	呼吸困难
肝裂	肛裂
拉过现在还有一点肿	肛门红肿
尿好少	尿量减少
无力	乏力
睡的少	睡眠障碍
喉咙可能有点不舒服	咽喉不适
皮肤有黄	皮肤黄
很蔫	精神软
扁条体红肿	扁桃体炎
瘦了好多	体重减轻
发烧38.5	中等度热
体温一直38	发热
口水泡泡	口吐白沫
三十七八	发热
痰里有血	咯血
眼角有一点点黄	发黄
脑袋两侧烫得厉害些	发热
温度是38度	低热
过敏性疾病	过敏
闭塞性细支气管炎	支气管炎
像打嗝一样的动作	行为异常
腿是睡着了，一动一动	行为异常
肚子动腿就动	行为异常
喉咙不怎么红	咽喉炎
喉咙里又咕咙咕咙响	痰鸣音
拉了二天肚子	腹泻
晕	头晕
头伤	头颅外伤
一天拉四五次，不硬	腹泻
泻肚子	腹泻
绿色屎	绿便
屁股团团都红	发红
紫肿	红肿
皮肤有更黄	皮肤黄
身体软的不行，看着没劲儿	乏力
大便次数也很多	腹泻
红点点	皮疹
烧到39.2度	高热
脸发紫	紫绀
出气有哼哼的声音	粗呼吸音
3天都没有大便	便秘
发紫	紫绀
心脏功能有问题	心脏病
37多	发热
这几天一直没拉	便秘
两天也没怎么吃	食欲不振
腹部疼痛	腹痛
拉便便就很痛苦	便秘
淡黄的很多水	水样便
有汗	出汗
咽喉也不怎么红	咽喉炎
浅表淋巴结肿大	淋巴结肿大
手足指趾有肿胀	水肿
浅表淋巴结没有肿大	淋巴结肿大
扁桃体有化脓	扁桃体炎
手足指趾也没有肿胀	水肿
肿胀	水肿
脱皮	皮屑
肿大	扁桃体肥大
黄胆	黄疸
没奶	乳汁异常
拉黄水	水样便
破皮	皮肤不完整
呛过奶	呛奶
胃口不佳	食欲不振
呼吸道不畅	呼吸困难
轻度贫血	贫血
眼白发黄	眼发黄
大便就有是绿灰色	绿便
肺上虚火重	上火
清鼻水	鼻流涕
胃炎	胃肠道炎症
发烧38.5度以上	中等度热
睡觉总是感觉睡不实	睡眠障碍
发的烧	发热
没的精神	精神软
吃奶也不好好吃	食欲不振
呼吸我感觉好像一直都比较急	呼吸急促
精神状况不好	精神软
手脚还冰冷	四肢厥冷
红点	皮疹
泡	疱疹
彽烧	低热
发烧38度	发热
嗓子，有点肿	咽喉炎
肺部和气管感染	肺部感染
鼻子憋	鼻塞
体温有的偏高	发热
鼻子憋的	鼻塞
嗓子不红	咽喉炎
不哭不闹的	哭闹
肚子不硬	腹部不适
肠绞疼	肠绞痛
四五天没有大便	便秘
四五天没拉	便秘
鼻子有出血	鼻流血
咽喉痛	咽喉不适
鼻粘膜出血	鼻流血
咽喉发炎	咽喉炎
用嘴巴呼吸多点	嘴呼吸
鼻子有塞住	鼻塞
手脚很冷	四肢厥冷
手脚还是冰冷的	四肢厥冷
鼻子塞得很厉害	鼻塞
呼吸都很困难	呼吸困难
脾虚寒	脾胃功能不调
嘴巴有时候很臭	口臭
消化吸收的问题	消化不良
眼白都黄	眼发黄
病理性的黄疸	病理性黄疸
没力气	乏力
尿有些黄	尿黄
384	低热
吃饭没什么胃口	食欲不振
易惊	惊厥
夜啼	哭闹
蛲虫病	寄生虫感染
呼吸稍费力	呼吸困难
小便混浊	尿液浑浊
流鼻涕，清的粘稠的都流	鼻流涕
有味味大，便两次，黄色，不成型	大便酸臭
扁桃体大	扁桃体肥大
嗓子一点点红	咽喉炎
小便异常	尿液异常
38.9度	中等度热
血糖低	低血糖
呼吸费劲	呼吸困难
咕噜噜响	肠鸣音
呼噜噜响	肠鸣音
感冒	肠胃型感冒
发热超过38度5	发热
呼吸不畅	呼吸困难
ABO溶血	溶血
头颈右侧按压疼	头痛
阴囊发红，像湿疹	湿疹
虚弱	免疫力低下
颈部发硬	淋巴结肿大
EB病毒	EB病毒感染
肠道病毒	病毒性肠炎
感染支原体	支原体感染
支气管感染	支气管炎
免疫力相对弱	免疫力低下
腿脚手这些都是很冷	四肢厥冷
拉了肚子	腹泻
拉不出	便秘
没有排便	便秘
發熱	发热
氣管有點發炎	气管炎
38以上	低热
流鼻	鼻流涕
流清鼻子	鼻流涕
流体	鼻流涕
奶也不咋吃	食欲不振
肺部有啰音	啰音
呼吸特别急促，喘粗气	呼吸急促
肺部感染炎症	肺炎
皮肤非常的干燥	皮肤干燥
艾滋	艾滋病
关节痛	关节疼痛
肌肉痛	肌肉酸痛
脓性分泌物	脓肿
握拳	行为异常
使劲	行为异常
伸腰	行为异常
嘴里哼哼唧唧	行为异常
脑袋的损伤	脑损伤
拉但是闲疼	便秘
大便太干，不好排便	大便干燥
心率快	心率增快
喉咙里面有呼噜呼噜的痰音	痰鸣音
体温是38.9	中等度热
无力状态	乏力
哮喘病人	哮喘
咳涑	咳嗽
声音有点哑	嗓子沙哑
37度5左右	低热
38度4	低热
出气不赢	喘息
发烧38.5度以下	低热
巨细胞病毒感染	病毒感染
溶血性的黄疸	溶血性黄胆
粑粑有点青色	绿便
肚脐,发炎	炎症
肚脐发炎	炎症
流脓	脓肿
九天一次大便	便秘
9天一便	便秘
大便次数少	便秘
体质差	免疫力低下
体质太差	免疫力低下
脸色红热	发红
大便每次都有血	血便
肛门疼	肛门疼痛
抵抗力会有所下降	免疫力低下
吃的也少	食欲不振
精神状态也差	精神软
身上挺冰的	四肢厥冷
痰样粘液	痰
气管轻微炎症	气管炎
体温不超过38.5	中等度热
38以下的体温	低热
大便时费劲	便秘
大便后滴出来的血	血便
大便不干燥，还有血	血便
不拉大便	便秘
三天不拉大便	便秘
想拉却拉不出来	便秘
消化系统不健全	消化不良
小便的颜色黄	尿黄
便的比以前多	腹泻
黑绿色的大便	黑便
淡黄色痰	痰
慢性扁桃体炎	扁桃体炎
扁桃体略微红大	扁桃体肥大
全身无力	乏力
牙肉肿涨发炎	牙龈炎
牙肉肿	牙龈炎
牙龈肿胀	牙龈炎
超过38度的体温	中等度热
一整天睡觉	嗜睡
无胃口吃东西	食欲不振
饮食特别差	食欲不振
心肌的损伤	心肌损伤
整天昏睡	嗜睡
精神状态也不是特别的好	精神软
酸碱失衡	电解质紊乱
无胃口	食欲不振
消化能力差	消化不良
睡眠比较差	睡眠障碍
过敏鼻炎	过敏性鼻炎
气道高反应性	气道高
肺炎支原体感染	肺炎支原体肺炎
38度以上的高烧	高热
不想吃东西	食欲不振
肚子总是疼	腹痛
呼呼声	喘息
吃的很少	食欲不振
一整天都在睡	嗜睡
尿还是比较多	尿量增多
大便又发白干节	陶土便
大便又有点稀发绿	稀便
精神食欲较差	精神软
脓球	脓血便
吃不进奶	食欲不振
体温是3637.5	低热
慢性鼻炎	鼻炎
38度9	中等度热
黄色粑粑，还有沫子	泡沫便
拉绿色的有时候黄色的	绿便
黄痘	黄疸
三十八度多	中等度热
三十九度	高热
气管感染	气管炎
4天左右大便一次	便秘
大便就要稀	稀便
有白色颗粒脂肪不消化	消化不良
肠胃蠕动也就不好	胃肠功能紊乱
排便也就不畅	便秘
胆红素太高	胆红素高
冷战	畏寒
高烧39.9	高热
胎盘早搏	胎盘早剥
嘴唇发紫	口唇发绀
嘴紫	口唇发绀
之气管肺炎	支气管肺炎
体温持续上升到39	高热
39多	高热
红色的疹子	皮疹
红疹子	皮疹
口唇皲裂	口唇干燥
生理性的	生理性黄疸
病理性的	病理性黄疸
掉头发	脱发
38度3	低热
发痒	痒
慢性咽炎	咽喉炎
咽喉部位炎症	咽喉炎
头颅的损伤	头颅外伤
损伤头颅	头颅外伤
38,3	低热
38,4	低热
体质比较差	免疫力低下
过敏反应	过敏
发烧38.5以上	中等度热
大便有点黑黄色	黑便
胆红素增高	胆红素高
吃奶就比以前少了	食欲不振
大便稀黑	稀便
大便的时候挺费劲	便秘
脸，头都热	发热
睡的不踏实	睡眠障碍
睡的不踏实，一会儿就醒	睡眠障碍
鼻子吸不动	鼻塞
肺部有湿罗音	啰音
气管挛缩	气管痉挛
接不上气	气喘
气道反应性增高	气道高
鼻子还不通	鼻塞
大便黑色	黑便
大便也黑	黑便
呼吸听的还咕噜咕噜	喘息
呼吸一会有咕噜声	喘息
堵鼻子	鼻塞
鼻子里面有点红	发红
鼻孔都有点肿起来的肉包	红肿
鼻子里面红肿	红肿
鼻粘膜充血	充血
中度烧	中等度热
人没力	乏力
肚脐眼周围疼	脐周疼痛
少尿	尿量减少
皮肤感觉会很黄	黄疸
咳醒	咳嗽
拉不去	便秘
奶量减少了	食欲不振
眼白比前两天黄了	眼发黄
大便都不拉了	便秘
黄疸像是生理性的	生理性黄疸
胃肠道不适应	胃肠功能紊乱
小便很多	尿量增多
胃肠道不适	胃肠功能紊乱
三十七度三	发热
体温37.3以上	发热
体温39度以上	高热
喉头水肿	喉水肿
喉头水肿性炎症	炎症
38度5至39度	中等度热
睡觉有响声	打鼾
发汗	出汗
喉咙有声音	痰鸣音
喘气不赢	喘息
喉咙里有东西	气管支气管异物
喉咙有东西	气管支气管异物
39度左右	中等度热
睡觉有声音	打鼾
扁桃体有问题	扁桃体炎
满身汗	出汗
睡得很不安稳	睡眠障碍
37.3度	低热
烧到38.5	中等度热
打喷	喷嚏
胆管堵塞	胆道梗阻
肝功能有异常	肝功能异常
3839之间	发热
痰不多	痰
不咳嗽	咳嗽
类百日咳综合症	类百日咳综合征
腺病毒	病毒感染
呼吸道合胞病毒	病毒感染
没精神不肯起床	精神软
咳嗽后出现呕吐	呕吐
咳嗽了就吐	呕吐
粘性痰液	痰
吸入性肺炎	肺炎
喉咙不舒服	咽部不适
不肯吃东西	食欲不振
三天了没来大便	便秘
没来大便	便秘
烦恼	烦躁
没体力	乏力
做着都没有力气	乏力
反正也没怎么吃东西	食欲不振
抽经	抽搐
严重感染	感染
体温，如果超过38度5	中等度热
吃的比平时少些了	食欲不振
直接胆红素高	胆红素高
间接胆红素高	胆红素高
早产儿	早产
胆道阻塞	胆道梗阻
抵抗疾病的能力比较差	免疫力低下
舌苔黄	舌苔厚黄
体内热	发热
小便次数增加	尿量增多
脸是红	发热
今天晚上没有吃饭	食欲不振
一天干	大便干燥
一天稀的	稀便
昨晚一个小时醒一回	睡眠障碍
有点发青黄不是很绿	绿便
一天大便5到6次	腹泻
大便变稀了，次数也增加	稀便
大便是不正常	绿便
肚子没有圆咕咕	腹胀
3天没有拉屎	便秘
不排大便	便秘
排便排气	屁
大便一直都挺干	大便干燥
肛门周围皮肤有破溃	皮肤不完整
大便太干	大便干燥
肠黏膜破溃	肠粘膜受损
黄疸溶血	溶血性黄疸
细菌和病毒的混合感染	细菌感染
肛门拉肚子有些红	红肿
烧到39.6	高热
38度7	中等度热
肚子，是有点鼓	腹胀
肚子有点鼓	腹胀
肚子里面有没有气	腹胀
眼白有点黄	眼发黄
拉出来的酸酸的	大便酸臭
五六天拉一次	便秘
这两次才这么难拉	便秘
大便也不干	大便干燥
六天没拉	便秘
拉不出来	便秘
拉粑粑更难拉	便秘
难拉大便	便秘
拉粑粑有点干	大便干燥
两次拉的时候还挺费劲	便秘
拉的干	大便干燥
肛门破了	肛裂
有点红	红肿
体温一直在38度5以上	中等度热
免疫缺陷病	免疫力低下
气道水肿	水肿
体温大于38度5	中等度热
泡枕	疱疹
体温不大于38度5	低热
热疹	皮疹
体重下降	体重减轻
三十八度五	中等度热
体温有39	高热
体温太高	发热
体温如果过高	高热
体温也是这么高	发热
呼吸累	呼吸困难
吃了会吐	呕吐
水样的	水样便
嘴唇很干	口唇干燥
尿量比平常少一点	尿量减少
三十八度五以上	中等度热
尿量有些减少	尿量减少
发烧39.2	高热
小红点	皮疹
皮疹	病毒性皮疹
抓挠皮肤	痒
抓挠	痒
病毒性的皮疹	病毒性皮疹
发烧37.6	低热
大便很硬	便秘
全身发烫	发热
37度9	低热
37度以上不到38	低热
不进食	食欲不振
肚脐附近疼	腹痛
有血丝	消化道出血
37.2度	低热
体温会比较高	发热
支气管肺发育不良	支气管肺炎
支气管狭窄	气管支气管狭窄
气管异物	气管支气管异物
清水鼻	鼻流涕
嗓子听上去有点齁	嗓子沙哑
体温还是38度	低热
出过汗	出汗
肺部有点杂音	啰音
发烧38.3	低热
超过39度	高热
汗出	出汗
脸色红红	发红
烧的脸红	发红
肚子胀痛	腹痛
哄不住	哭闹
40	超高热
胃口也不好	食欲不振
肝炎综合征	肝炎
大便次数会很多	腹泻
体温大于38度五	中等度热
低于38度五	低热
脚冰凉	四肢厥冷
手足凉	四肢厥冷
身上比较烫	发热
拉的可废气	便秘
感染的病毒菌	病毒感染
38.5以内	低热
病毒菌	病毒感染
燥	烦躁
39.7	高热
肺火旺	上火
困了	嗜睡
身上发烫	发热
反复烧	发热
过敏性咳	过敏性咳嗽
咽喉红肿	红肿
发烧39度5	高热
39度9	高热
39.5度	发热
沒有吃一点东西	食欲不振
进食差	食欲不振
咽喉部呼噜声音	痰鸣音
哑嗓子	嗓子沙哑
黄脓涕	鼻流涕
风热感冒	感冒
急性肠胃炎	急性胃肠炎
急性胃炎	急性胃肠炎
浑身没劲	乏力
肺部有点发炎	肺炎
肚子还总是咕咕叫	肠鸣音
一天有时候拉好几遍	腹泻
一夜没尿尿	尿量减少
尿的就少	尿量减少
尿的也少	尿量减少
来肚子	腹泻
拉了七八次	腹泻
扁桃体,发炎	扁桃体炎
肠道消化不好	消化不良
积食	消化不良
体温是35度8	低温
体温35度8	低温
三天左右	便秘
三天拉一次	便秘
没有拉粑粑	便秘
睡眠不是很好	睡眠障碍
吓醒	惊厥
吓	惊厥
不便	便秘
34.5	低温
手不冷	四肢厥冷
出了很多汗	出汗
前胸，四肢皮肤黄	皮肤黄
体温37.8度	低热
高烧39.3度	高热
鼻子堵	鼻塞
咳的	咳嗽
抵抗力低一些	免疫力低下
呼吸咕噜咕噜	痰鸣音
火大	上火
扁桃体有没有发炎	扁桃体炎
39度2	高热
睡觉睡不踏实。迷迷糊糊的	睡眠障碍
咳嗽咳嗽	咳嗽
青紫窒息史	紫绀
直接胆红素增高	胆红素高
溶血性	溶血性黄疸
直胆升高	胆红素高
先天性持续性淤胆	胆汁淤积
获得性淤胆	胆汁淤积
咽鼻分泌物流	痰
分泌物增加	痰
拉的粑粑是稀的	稀便
38.538.7之间	发热
感觉不怎么要吃奶	食欲不振
37.7到38度	低热
头还是热	发热
拉出来的像水一样稀	水样便
额头么的热	发热
后脑勺和后背特别热	发热
干烧	发热
快39	中等度热
白眼球那里越来越黄	黄疸
吃奶感觉比之前少些	食欲不振
胃口特别差	食欲不振
胃肠道功能也有受损	胃肠功能紊乱
不通气	鼻塞
蔫了	精神软
尿较多	尿量增多
大便挺正常的,金黄色,不希,偶尔有一两次偏绿	绿便
流点鼻水	鼻流涕
喘气伴有声音	痰鸣音
喉咙有点红肿	咽喉炎
喘咳	咳喘
睡觉有时候会被自己惊醒	睡眠障碍
六天都没有排便	便秘
六天不大便	便秘
长时间都不大便	便秘
吃奶很少呛	呛奶
憋一下，之后用嘴出气	喘憋
青紫	口周发青
大便间隔时间很久	便秘
大便一条一条的	大便干燥
很久拉，每次都有点痛苦	便秘
呼吸急	呼吸急促
咳几声	咳嗽
候龙里有痰	痰
吼吼	痰鸣音
留鼻子	鼻流涕
嘴里老爱有口水	流涎
鼻子有时有点粘	鼻流涕
肚子咕咕的有气	腹胀
喉咙呼噜呼噜	痰鸣音
拉屎费劲	便秘
拉屎可费劲	便秘
发烧，37.7	低热
不超过38.5°	低热
眩晕症	眩晕
脑炎后遗症	脑炎
咳瘦	咳嗽
抽筋	肌肉痉挛
羊角风	癫痫
鼻腔分泌物多	鼻流涕
皮肤很红	红肿
大便开始是墨绿色	绿便
皮肤发红	红肿
乙肝病毒	乙肝
脖子后热	发热
脖子后老热	发热
老吐唾沫	流涎
吃奶差	食欲不振
状态差	精神软
睡觉	嗜睡
吸鼻子	鼻塞
嗓子感觉不舒服	咽喉不适
嘴臭	口臭
胃肠道消化功能	胃肠功能紊乱
拉大便拉的是水	水样便
吃奶不是很多	食欲不振
精神差一点	精神软
肺热上火	上火
流黄脓涕	鼻流涕
体重4个月不增长	体重减轻
体重增长不良	体重减轻
爱趴着睡	嗜睡
先天性甲低	甲状腺功能减退
不爱喝奶粉	食欲不振
费劲	便秘
屁股还起硬结	皮疹
排尿多	尿量增多
流脓鼻涕	鼻流涕
双臂痛	四肢疼痛
大便难解	大便干燥
不主动排便	便秘
三天通一次	便秘
不爱吃奶粉	食欲不振
生病期间不怎么吃	食欲不振
大便颜色是土色	陶土便
一天就拉一回，而且有点干	便秘
拉不干净	便秘
消化功能失调	消化不良
发憋	喘憋
鼻塞多鼻腔有干鼻痂	鼻塞
鼻子呼呼的会憋醒	鼻塞
鼻都流塞	鼻塞
有好几天没大便了	便秘
高热到39度多	高热
烧了39度5	高热
嗓子有没有发红	咽喉炎
消瘦	体重减轻
支气管增粗增强影	肺纹理增粗
吃吃就不吃了	食欲不振
鼻子出过点血	鼻流血
鼻子出血	鼻流血
鼻黏膜的损伤	鼻粘膜损伤
嗓子痒或不舒服	咽喉不适
吃奶的时候呛到	呛奶
躺下出不来气	呼吸困难
点头呼吸	呼吸困难
嗓子没有哑	嗓子沙哑
高温39度	高热
已经超过38.5度	中等度热
发烧的39度	高热
精神明显不好	精神软
肺音增粗	粗呼吸音
干湿罗音	啰音
食管反流	胃食管反流
出疹	皮疹
有痰的咳	咳痰
胃窦炎	胃肠道炎症
发白	舌苔发白
肛门外翻	脱肛
干结	大便干燥
最高的时候到38.8	中等度热
四天没有拉粑粑	便秘
手脚还凉	四肢厥冷
害冷	畏寒
39.0	高热
不吃不喝	食欲不振
高烧到过40度	超高热
小儿急诊	幼儿急疹
体温38度左右	中等度热
体温一直不能降到正常	发热
体温不正常	发热
37.5度也是发热	中等度热
三天没大便了	便秘
,晚上不睡	睡眠障碍
体温超过38.5度以上	中等度热
手心脚心放到眼睛上试格外热	发热
超过37度3	发热
好几天没大便	便秘
睡觉总呼噜哼唧	痰鸣音
病毒性的感染	病毒感染
孩子睡眠的时间比较多，比正常的孩子要多得多	嗜睡
渴睡，第一出院后，吃饱了睡了四五个小时都不醒	嗜睡
烧38°	低热
烧37°多一点	低热
脸色以及眼睛部位黄	皮肤黄
尿多，黄	尿量增多
十多天不拉了	便秘
肚子敲的时候有那种响声	腹胀
几天没排	便秘
38.0	发热
状态就不好	精神软
38度之上	发热
不喘	喘息
三四天不大便	便秘
便便都跟泥浆	糊状便
烧三十九度	高热
身上有点热	发热
手脚都有点凉	四肢厥冷
38度一	低热
眼角发红	眼睛发红
眼角见红	眼睛发红
拉的也有点发绿	绿便
眼角眉毛那发红	眼睛发红
白色的疙瘩	皮疹
下呼吸道炎症	下呼吸道感染
烧39.4	高热
烧38度9	中等度热
吐血	呕吐
尿是有点白白	尿液异常
尿的次数少了	尿量减少
吃东西也少了	食欲不振
也不好	精神软
眼屎比较多	眼睛分泌物异常
缺辛	缺锌
老睡觉	嗜睡
没有一点精神	精神软
进食不好	食欲不振
尿量还少	尿量减少
三天没有大便	便秘
小肚子总是鼓鼓的	腹胀
消化系统不良	消化不良
火气很重	上火
鼻孔很红	上火
鼻涕有时候都有点带血丝	鼻流血
鼻孔再有出血	鼻流血
超过38.5度以上	中等度热
额头有点热	发热
身上也点热	发热
37度6	低热
烧过38.5°	中等度热
肠旋转不良	肠梗阻
吃奶不多	食欲不振
口疮	鹅口疮
四天才拉	便秘
眼睛发黄	眼发黄
大便一天4,5次	腹泻
拉的挺多	腹泻
啦的黑绿色	绿便
七天时还无大便	便秘
腿无力	乏力
排尿减少	尿量减少
大便呈蛋花汤样	蛋花汤样便
吃奶吃的也少	食欲不振
嗓子发不出声音	声音嘶哑
嗓子出不来声音	声音嘶哑
吃的不怎样	食欲不振
吃的没有以前多	食欲不振
风寒	感冒
肠黏膜毛细血管破裂	血管破裂
疝气	脐疝
5天不拉粑粑	便秘
五天不拉	便秘
两天不拉	便秘
五天没拉	便秘
拉一点点就有点干	大便干燥
绿色粑粑	绿便
消化不是很好	消化不良
绿色宝宝	绿便
拉了两次看他好用力，还是没拉出来	便秘
大便特别干	大便干燥
大便解不出来	便秘
眼眶就红	眼睛发红
睡觉时听着有呼呼的	痰鸣音
发热最多37.5度	低热
的精神差	精神软
肺部有一点点的炎症	肺炎
嗓子有些刺疼	咽喉痛
嗓子比较干	咽部不适
扁桃体似有白色黏膜	扁桃体炎
右侧的扁桃体也有白色的粘膜	扁桃体炎
刺痛	咽喉痛
嗓子又变得很干	咽喉不适
鼻腔分泌物	鼻流涕
鼻腔里有点异物	鼻流涕
胃肠道的症状	胃肠功能紊乱
大便当中的水比较多	水样便
呼吸道病毒感染	呼吸道感染
大便中的水分比较多	水样便
看起来老是困	嗜睡
手冰凉	四肢厥冷
体温还再升高	发热
